"Time (ms)";"joelho";"Quadril"
"0";"96,10835";"84,74954"
"17";"96,09917";"84,73128"
"34";"96,12542";"84,7337"
"51";"96,20546";"84,76611"
"68";"96,34181";"84,8286"
"85";"96,53087";"84,9193"
"102";"96,76418";"85,03506"
"119";"97,02397";"85,16744"
"136";"97,28137";"85,30074"
"153";"97,50203";"85,41496"
"170";"97,65793";"85,49365"
"187";"97,73829";"85,53152"
"204";"97,75256";"85,53622"
"221";"97,72416";"85,52313"
"238";"97,68002";"85,50763"
"255";"97,64312";"85,49991"
"272";"97,6304";"85,50475"
"289";"97,65404";"85,52412"
"306";"97,72261";"85,56012"
"323";"97,84033";"85,616"
"339";"98,00529";"85,69472"
"356";"98,20805";"85,79575"
"373";"98,43122";"85,91237"
"390";"98,65173";"86,03193"
"407";"98,84702";"86,1401"
"424";"99,00352";"86,22734"
"441";"99,12189";"86,29337"
"458";"99,21511";"86,34641"
"475";"99,30126";"86,39814"
"492";"99,39703";"86,45824"
"509";"99,51431";"86,53184"
"526";"99,65975";"86,6203"
"543";"99,83536";"86,72308"
"560";"100,0393";"86,83911"
"577";"100,2669";"86,96699"
"594";"100,5115";"87,10471"
"611";"100,7648";"87,24962"
"628";"101,0186";"87,39899"
"645";"101,2676";"87,55094"
"661";"101,5104";"87,70505"
"678";"101,7497";"87,86259"
"695";"101,9923";"88,02674"
"712";"102,2462";"88,20158"
"729";"102,5178";"88,39037"
"746";"102,811";"88,59463"
"763";"103,127";"88,81469"
"780";"103,4648";"89,05041"
"797";"103,8211";"89,30128"
"814";"104,1905";"89,56594"
"831";"104,567";"89,8419"
"848";"104,9455";"90,12634"
"865";"105,3235";"90,41712"
"882";"105,7";"90,71313"
"899";"106,0754";"91,01429"
"916";"106,4507";"91,32161"
"933";"106,8285";"91,63676"
"950";"107,2122";"91,96126"
"967";"107,6042";"92,29603"
"984";"108,0052";"92,64123"
"1000";"108,4143";"92,99673"
"1017";"108,8298";"93,3625"
"1034";"109,2501";"93,73858"
"1051";"109,675";"94,12651"
"1068";"110,1096";"94,53196"
"1085";"110,5646";"94,96655"
"1102";"111,0519";"95,44456"
"1119";"111,5727";"95,97039"
"1136";"112,1088";"96,52473"
"1153";"112,6308";"97,07391"
"1170";"113,1214";"97,5984"
"1187";"113,5831";"98,10245"
"1204";"114,0279";"98,59938"
"1221";"114,4655";"99,09905"
"1238";"114,9006";"99,6065"
"1255";"115,3345";"100,1243"
"1272";"115,7663";"100,6534"
"1289";"116,1945";"101,1921"
"1306";"116,6179";"101,7377"
"1323";"117,0368";"102,2886"
"1339";"117,4516";"102,8455"
"1356";"117,8619";"103,4104"
"1373";"118,2665";"103,9845"
"1390";"118,6639";"104,5668"
"1407";"119,0539";"105,155"
"1424";"119,4374";"105,7476"
"1441";"119,816";"106,3438"
"1458";"120,1906";"106,9446"
"1475";"120,5611";"107,5508"
"1492";"120,9258";"108,1631"
"1509";"121,2822";"108,7812"
"1526";"121,6282";"109,4043"
"1543";"121,9637";"110,0318"
"1560";"122,2905";"110,6629"
"1577";"122,6093";"111,2965"
"1594";"122,918";"111,9317"
"1611";"123,2142";"112,5683"
"1628";"123,4967";"113,2067"
"1645";"123,7653";"113,8472"
"1661";"124,0201";"114,4883"
"1678";"124,2615";"115,1283"
"1695";"124,4899";"115,765"
"1712";"124,7054";"116,3972"
"1729";"124,9078";"117,024"
"1746";"125,0969";"117,6451"
"1763";"125,2725";"118,2601"
"1780";"125,4331";"118,8675"
"1797";"125,5762";"119,4647"
"1814";"125,6998";"120,0493"
"1831";"125,8033";"120,6204"
"1848";"125,8871";"121,1782"
"1865";"125,9518";"121,7228"
"1882";"125,9972";"122,2532"
"1899";"126,0226";"122,7678"
"1916";"126,0279";"123,2662"
"1933";"126,0133";"123,7488"
"1950";"125,9775";"124,2147"
"1967";"125,9189";"124,6618"
"1984";"125,836";"125,0871"
"2000";"125,728";"125,4893"
"2017";"125,5947";"125,8693"
"2034";"125,4355";"126,2305"
"2051";"125,2495";"126,575"
"2068";"125,0352";"126,9003"
"2085";"124,7912";"127,1997"
"2102";"124,519";"127,4681"
"2119";"124,2222";"127,7036"
"2136";"123,9043";"127,9062"
"2153";"123,5654";"128,0757"
"2170";"123,2021";"128,2126"
"2187";"122,8097";"128,3172"
"2204";"122,3844";"128,3883"
"2221";"121,9258";"128,4242"
"2238";"121,437";"128,4237"
"2255";"120,9227";"128,3866"
"2272";"120,3857";"128,3137"
"2289";"119,8269";"128,2064"
"2306";"119,2471";"128,0661"
"2323";"118,6468";"127,8937"
"2339";"118,0256";"127,6902"
"2356";"117,3818";"127,4557"
"2373";"116,7137";"127,1888"
"2390";"116,0201";"126,8868"
"2407";"115,3007";"126,5489"
"2424";"114,5553";"126,1756"
"2441";"113,7843";"125,7683"
"2458";"112,9884";"125,3275"
"2475";"112,1687";"124,8528"
"2492";"111,3275";"124,3454"
"2509";"110,4689";"123,8088"
"2526";"109,5966";"123,2456"
"2543";"108,7112";"122,656"
"2560";"107,8109";"122,0397"
"2577";"106,8954";"121,398"
"2594";"105,9663";"120,7328"
"2611";"105,0267";"120,0438"
"2628";"104,0793";"119,3299"
"2645";"103,1257";"118,5922"
"2661";"102,1666";"117,8343"
"2678";"101,2017";"117,0596"
"2695";"100,2308";"116,2689"
"2712";"99,2541";"115,4602"
"2729";"98,2723";"114,6308"
"2746";"97,28731";"113,7808"
"2763";"96,30285";"112,9133"
"2780";"95,3233";"112,0326"
"2797";"94,35152";"111,1432"
"2814";"93,38781";"110,2483"
